name,sov_a3,latitude,longitude,pop_max,region
Kuala Lumpur,MYS,3.139,101.6869,8100000,Central
George Town,MYS,5.4141,100.3288,2500000,Northern
Ipoh,MYS,4.5975,101.0901,737861,Central
Shah Alam,MYS,3.0738,101.5183,481654,Central
Petaling Jaya,MYS,3.1073,101.6067,613977,Central
Johor Bahru,MYS,1.4927,103.7414,1713000,Southern
Malacca City,MYS,2.2008,102.2405,579000,Southern
Kota Kinabalu,MYS,5.9804,116.0735,452058,Eastern
Kuching,MYS,1.5533,110.3592,570407,Eastern
Miri,MYS,4.3993,113.9917,354000,Eastern
Alor Setar,MYS,6.1184,100.3671,405523,Northern
Kuantan,MYS,3.8278,103.3279,427515,Eastern
Kuala Terengganu,MYS,5.3302,103.1408,343284,Eastern
Seremban,MYS,2.7297,101.9381,620100,Central
Klang,MYS,3.043,101.4467,875400,Central
Sibu,MYS,2.291,111.8257,229787,Eastern
Sandakan,MYS,5.8455,118.0578,396290,Eastern
Tawau,MYS,4.2441,117.8916,397673,Eastern
Putrajaya,MYS,2.9264,101.6964,88200,Central
Cyberjaya,MYS,2.9183,101.6519,117000,Central
Labuan,MYS,5.2766,115.2417,98700,Eastern
Butterworth,MYS,5.3992,100.3638,107591,Northern
Batu Pahat,MYS,1.8548,102.9331,156236,Southern
Kangar,MYS,6.4393,100.1983,48498,Northern
Taiping,MYS,4.8503,100.7414,217647,Central
Kulim,MYS,5.3642,100.5618,283948,Northern
Kluang,MYS,2.0251,103.319,319629,Southern
Bentong,MYS,3.5204,101.9108,100000,Central
Port Dickson,MYS,2.5242,101.7954,97270,Central
Kemaman,MYS,4.2365,103.4479,167024,Eastern